store_nbr,city,type,cluster,total_units,avg_transaction,unique_items_sold
44,Quito,A,5,62087544.0,17.67,3671
45,Quito,A,11,54498010.0,15.64,3676
47,Quito,A,14,50948308.0,14.74,3680
3,Quito,D,8,50481899.0,14.84,3671
49,Quito,A,11,43420090.0,12.99,3663
46,Quito,A,14,41896051.0,12.49,3648
48,Quito,A,14,35933130.0,11.1,3638
51,Guayaquil,A,17,32911485.0,11.12,3646
8,Quito,D,8,30491336.0,9.35,3667
50,Ambato,A,14,28653019.0,8.97,3655
11,Cayambe,B,6,28325556.0,11.03,3172
7,Quito,D,8,26952021.0,9.23,3635
9,Quito,B,6,26409398.0,9.52,3225
6,Quito,D,13,25183677.0,8.15,3597
24,Guayaquil,D,1,23767730.0,8.58,3597
2,Quito,D,13,21554618.0,7.21,3594
39,Cuenca,B,6,20252193.0,7.68,3245
37,Cuenca,D,2,19969834.0,7.05,3594
27,Daule,D,1,19188020.0,7.29,3599
4,Quito,D,9,18909697.0,6.68,3548
38,Loja,D,4,18857920.0,6.91,3541
40,Machala,C,3,18395757.0,8.75,2706
28,Guayaquil,E,10,18383154.0,7.6,3133
17,Quito,C,12,18030968.0,8.33,2797
31,Babahoyo,B,10,17746828.0,7.51,3109
34,Guayaquil,B,6,17090728.0,7.43,3138
43,Esmeraldas,E,10,16391689.0,8.45,3115
5,Santo Domingo,D,4,15592405.0,5.85,3528
36,Libertad,E,10,15322424.0,6.93,3196
41,Machala,D,4,14991006.0,5.99,3552
33,Quevedo,C,3,14178461.0,7.22,2670
1,Quito,D,13,14145012.0,5.52,3567
18,Quito,B,16,13247102.0,6.03,3236
19,Guaranda,C,15,13049505.0,6.94,2637
20,Quito,B,6,12920954.0,7.76,3156
23,Ambato,D,9,11651380.0,4.93,3481
15,Ibarra,C,15,11451269.0,5.91,2695
25,Salinas,D,1,11420996.0,5.55,3513
14,Riobamba,C,7,11387919.0,6.31,2626
53,Manta,D,13,11204904.0,5.78,3515
54,El Carmen,C,3,11057482.0,6.71,2600
16,Santo Domingo,C,3,10986413.0,6.04,2669
12,Latacunga,C,15,10659218.0,5.8,2675
13,Latacunga,C,15,10523000.0,6.06,2554
29,Guayaquil,E,10,9723158.0,6.44,3098
10,Quito,C,15,9613906.0,5.52,2640
21,Santo Domingo,B,6,9255499.0,6.74,3126
42,Cuenca,D,2,8945768.0,6.12,3579
26,Guayaquil,D,10,7755104.0,4.33,3448
35,Playas,C,3,7676677.0,5.53,2617
30,Guayaquil,C,3,7381894.0,4.62,2655
32,Guayaquil,C,3,5951784.0,4.37,2556
22,Puyo,C,7,4090202.0,4.43,2655
52,Manta,A,11,2696170.0,9.28,3481
